Sale_ID,Date,Store_ID,Product_ID,Units
1,2017-01-01,24,4,1
2,2017-01-01,28,1,1
3,2017-01-01,6,8,1
4,2017-01-01,48,7,1
5,2017-01-01,44,18,1
6,2017-01-01,1,31,1
7,2017-01-01,40,7,1
8,2017-01-01,19,2,1
9,2017-01-01,38,21,1
10,2017-01-01,21,8,1
11,2017-01-01,6,8,1
12,2017-01-01,34,8,1
13,2017-01-01,37,8,2
14,2017-01-01,38,9,1
15,2017-01-01,5,31,1
16,2017-01-01,34,24,1
17,2017-01-01,8,8,1
18,2017-01-01,6,8,1
19,2017-01-01,8,8,1
20,2017-01-01,3,24,2
21,2017-01-01,5,31,1
22,2017-01-01,33,27,1
23,2017-01-01,3,8,1
24,2017-01-01,30,24,1
25,2017-01-01,4,20,1
26,2017-01-01,41,8,1
27,2017-01-01,34,31,1
28,2017-01-01,10,35,1
29,2017-01-01,16,35,1
30,2017-01-01,34,18,3
31,2017-01-01,34,8,1
32,2017-01-01,4,20,1
33,2017-01-01,5,31,1
34,2017-01-01,36,1,1
35,2017-01-01,39,34,3
36,2017-01-01,5,21,1
37,2017-01-01,33,27,1
38,2017-01-01,32,8,4
39,2017-01-01,25,9,1
40,2017-01-01,46,6,1
41,2017-01-01,23,14,1
42,2017-01-01,33,27,1
43,2017-01-01,50,5,1
44,2017-01-01,12,7,1
45,2017-01-01,41,8,3
46,2017-01-01,12,8,1
47,2017-01-01,30,1,3
48,2017-01-01,38,21,1
49,2017-01-01,50,24,1
50,2017-01-01,22,30,1
51,2017-01-01,21,8,1
52,2017-01-01,48,7,1
53,2017-01-01,8,8,1
54,2017-01-01,50,6,1
55,2017-01-01,33,27,1
56,2017-01-01,41,8,2
57,2017-01-01,46,6,1
58,2017-01-01,16,8,1
59,2017-01-01,41,1,1
60,2017-01-01,37,18,1
61,2017-01-01,36,1,1
62,2017-01-01,21,8,1
63,2017-01-01,36,1,1
64,2017-01-01,34,18,2
65,2017-01-01,5,31,1
66,2017-01-01,24,4,1
67,2017-01-01,33,33,1
68,2017-01-01,48,9,1
69,2017-01-01,33,33,1
70,2017-01-01,37,31,1
71,2017-01-01,27,8,1
72,2017-01-01,19,6,2
73,2017-01-01,44,2,1
74,2017-01-01,30,24,1
75,2017-01-01,34,24,1
76,2017-01-01,19,6,2
77,2017-01-01,21,1,1
78,2017-01-01,41,8,3
79,2017-01-01,7,9,1
80,2017-01-01,7,4,1
81,2017-01-01,7,9,1
82,2017-01-01,50,24,1
83,2017-01-01,5,8,1
84,2017-01-01,8,20,1
85,2017-01-01,47,8,1
86,2017-01-01,33,33,1
87,2017-01-01,1,31,1
88,2017-01-01,47,8,1
89,2017-01-01,12,6,3
90,2017-01-01,49,5,1
91,2017-01-01,16,8,1
92,2017-01-01,7,9,1
93,2017-01-01,10,35,1
94,2017-01-01,37,22,1
95,2017-01-01,41,8,2
96,2017-01-01,10,8,1
97,2017-01-01,42,27,1
98,2017-01-01,24,4,1
99,2017-01-01,33,27,1
100,2017-01-01,5,21,1
101,2017-01-01,5,8,1
102,2017-01-01,16,35,1
103,2017-01-01,8,8,1
104,2017-01-01,5,7,1
105,2017-01-01,36,14,3
106,2017-01-01,24,31,1
107,2017-01-01,12,8,1
108,2017-01-01,47,31,1
109,2017-01-01,29,2,1
110,2017-01-01,18,10,1
111,2017-01-01,50,5,1
112,2017-01-01,49,5,1
113,2017-01-01,34,8,1
114,2017-01-01,10,35,1
115,2017-01-01,30,6,3
116,2017-01-01,46,6,1
117,2017-01-01,47,31,1
118,2017-01-01,16,30,1
119,2017-01-01,41,1,1
120,2017-01-01,9,27,1
121,2017-01-01,12,7,1
122,2017-01-01,44,18,1
123,2017-01-01,24,31,1
124,2017-01-01,44,18,1
125,2017-01-01,7,31,1
126,2017-01-01,32,8,4
127,2017-01-01,21,17,3
128,2017-01-01,24,4,1
129,2017-01-01,18,10,1
130,2017-01-01,5,8,1
131,2017-01-01,48,2,1
132,2017-01-01,49,5,1
133,2017-01-01,8,8,1
134,2017-01-01,7,8,1
135,2017-01-01,12,7,1
136,2017-01-01,50,24,1
137,2017-01-01,4,9,1
138,2017-01-01,6,8,1
139,2017-01-01,42,8,1
140,2017-01-01,9,24,1
141,2017-01-01,1,21,2
142,2017-01-01,4,9,1
143,2017-01-01,33,33,1
144,2017-01-01,10,35,1
145,2017-01-01,16,35,1
146,2017-01-01,24,4,1
147,2017-01-01,37,34,1
148,2017-01-01,8,20,1
149,2017-01-01,29,2,1
150,2017-01-01,41,8,1
151,2017-01-01,9,8,1
152,2017-01-01,38,22,2
153,2017-01-01,5,21,1
154,2017-01-01,9,8,1
155,2017-01-01,39,34,3
156,2017-01-01,48,8,1
157,2017-01-01,38,8,1
158,2017-01-01,9,8,1
159,2017-01-01,40,17,1
160,2017-01-01,30,1,2
161,2017-01-01,21,8,1
162,2017-01-01,41,1,1
163,2017-01-01,44,18,1
164,2017-01-01,9,24,1
165,2017-01-01,50,8,2
166,2017-01-01,5,21,1
167,2017-01-01,30,6,3
168,2017-01-01,48,7,1
169,2017-01-01,23,14,1
170,2017-01-01,50,24,1
171,2017-01-01,28,1,1
172,2017-01-01,9,8,1
173,2017-01-01,44,18,1
174,2017-01-01,31,18,2
175,2017-01-01,41,1,1
176,2017-01-01,38,21,1
177,2017-01-01,28,30,1
178,2017-01-01,37,31,1
179,2017-01-01,30,2,1
180,2017-01-01,34,18,3
181,2017-01-01,19,2,1
182,2017-01-01,21,17,3
183,2017-01-01,32,8,3
184,2017-01-01,9,1,1
185,2017-01-01,10,35,1
186,2017-01-01,41,8,1
187,2017-01-01,7,4,1
188,2017-01-01,7,31,1
189,2017-01-01,33,33,1
190,2017-01-01,39,8,1
191,2017-01-01,37,34,1
192,2017-01-01,34,8,1
193,2017-01-01,50,33,1
194,2017-01-01,4,20,1
195,2017-01-01,44,2,1
196,2017-01-01,32,9,1
197,2017-01-01,41,1,1
198,2017-01-01,6,8,1
199,2017-01-01,32,8,3
200,2017-01-01,1,21,2
201,2017-01-01,35,31,1
202,2017-01-01,35,31,1
203,2017-01-01,8,8,1
204,2017-01-01,24,31,1
205,2017-01-01,42,8,1
206,2017-01-01,39,34,2
207,2017-01-01,48,2,1
208,2017-01-01,41,8,3
209,2017-01-01,33,33,1
210,2017-01-01,28,30,1
211,2017-01-01,42,27,1
212,2017-01-01,16,8,1
213,2017-01-01,23,14,1
214,2017-01-01,12,6,2
215,2017-01-01,30,24,1
216,2017-01-01,19,30,1
217,2017-01-01,13,6,1
218,2017-01-01,32,8,4
219,2017-01-01,44,18,1
220,2017-01-01,48,8,1
221,2017-01-01,48,8,1
222,2017-01-01,7,9,1
223,2017-01-01,14,6,1
224,2017-01-01,39,34,3
225,2017-01-01,44,2,1
226,2017-01-01,32,8,4
227,2017-01-01,9,8,1
228,2017-01-01,33,33,1
229,2017-01-01,22,30,1
230,2017-01-01,21,17,2
231,2017-01-01,1,21,2
232,2017-01-01,38,22,3
233,2017-01-01,50,8,1
234,2017-01-01,35,31,1
235,2017-01-01,9,24,1
236,2017-01-01,35,31,1
237,2017-01-01,39,8,1
238,2017-01-01,37,34,1
239,2017-01-01,23,14,1
